dataset,measure,value,region,period,typ
TABLICA 3 (15). PRZECIĘTNE MIESIĘCZNE ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG WOJEWÓDZTW,Świadczenia rolne wypłacane z FER,2080.05,dolnośląskie,2025,
TABLICA 3 (15). PRZECIĘTNE MIESIĘCZNE ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG WOJEWÓDZTW,Świadczenia rolne wypłacane z FER,2142.83,kujawsko-pomorskie,2025,
TABLICA 3 (15). PRZECIĘTNE MIESIĘCZNE ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG WOJEWÓDZTW,Świadczenia rolne wypłacane z FER,2092.48,lubelskie,2025,
TABLICA 3 (15). PRZECIĘTNE MIESIĘCZNE ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG WOJEWÓDZTW,Świadczenia rolne wypłacane z FER,2030.23,lubuskie,2025,
TABLICA 3 (15). PRZECIĘTNE MIESIĘCZNE ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG WOJEWÓDZTW,Świadczenia rolne wypłacane z FER,2115.03,łódzkie,2025,
TABLICA 3 (15). PRZECIĘTNE MIESIĘCZNE ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG WOJEWÓDZTW,Świadczenia rolne wypłacane z FER,2043.2,małopolskie,2025,
TABLICA 3 (15). PRZECIĘTNE MIESIĘCZNE ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG WOJEWÓDZTW,Świadczenia rolne wypłacane z FER,2105.94,mazowieckie,2025,
TABLICA 3 (15). PRZECIĘTNE MIESIĘCZNE ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG WOJEWÓDZTW,Świadczenia rolne wypłacane z FER,2117.12,opolskie,2025,
TABLICA 3 (15). PRZECIĘTNE MIESIĘCZNE ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG WOJEWÓDZTW,Świadczenia rolne wypłacane z FER,2069.69,podkarpackie,2025,
TABLICA 3 (15). PRZECIĘTNE MIESIĘCZNE ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG WOJEWÓDZTW,Świadczenia rolne wypłacane z FER,2123.92,podlaskie,2025,
TABLICA 3 (15). PRZECIĘTNE MIESIĘCZNE ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG WOJEWÓDZTW,Świadczenia rolne wypłacane z FER,2115.66,pomorskie,2025,
TABLICA 3 (15). PRZECIĘTNE MIESIĘCZNE ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG WOJEWÓDZTW,Świadczenia rolne wypłacane z FER,2020.23,śląskie,2025,
TABLICA 3 (15). PRZECIĘTNE MIESIĘCZNE ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG WOJEWÓDZTW,Świadczenia rolne wypłacane z FER,2085.43,świętokrzyskie,2025,
TABLICA 3 (15). PRZECIĘTNE MIESIĘCZNE ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG WOJEWÓDZTW,Świadczenia rolne wypłacane z FER,2131.28,warmińsko-mazurskie,2025,
TABLICA 3 (15). PRZECIĘTNE MIESIĘCZNE ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG WOJEWÓDZTW,Świadczenia rolne wypłacane z FER,2050.89,wielkopolskie,2025,
TABLICA 3 (15). PRZECIĘTNE MIESIĘCZNE ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG WOJEWÓDZTW,Świadczenia rolne wypłacane z FER,2116.58,zachodniopomorskie,2025,
TABLICA 3 (15). PRZECIĘTNE MIESIĘCZNE ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG WOJEWÓDZTW,Świadczenia rolne wypłacane z FER,1064.55,MON,2025,
TABLICA 3 (15). PRZECIĘTNE MIESIĘCZNE ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG WOJEWÓDZTW,Świadczenia rolne wypłacane z FER,913.98,MSWiA,2025,
TABLICA 3 (15). PRZECIĘTNE MIESIĘCZNE ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG WOJEWÓDZTW,Świadczenia rolne wypłacane z FER,835.64,MS,2025,
TABLICA 3 (15). PRZECIĘTNE MIESIĘCZNE ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG WOJEWÓDZTW,Świadczenia realizowane przez KRUS ogółem,2228.08,dolnośląskie,2025,
TABLICA 3 (15). PRZECIĘTNE MIESIĘCZNE ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG WOJEWÓDZTW,Świadczenia realizowane przez KRUS ogółem,2213.26,kujawsko-pomorskie,2025,
TABLICA 3 (15). PRZECIĘTNE MIESIĘCZNE ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG WOJEWÓDZTW,Świadczenia realizowane przez KRUS ogółem,2185.8,lubelskie,2025,
TABLICA 3 (15). PRZECIĘTNE MIESIĘCZNE ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG WOJEWÓDZTW,Świadczenia realizowane przez KRUS ogółem,2301.14,lubuskie,2025,
TABLICA 3 (15). PRZECIĘTNE MIESIĘCZNE ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG WOJEWÓDZTW,Świadczenia realizowane przez KRUS ogółem,2188.07,łódzkie,2025,
TABLICA 3 (15). PRZECIĘTNE MIESIĘCZNE ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG WOJEWÓDZTW,Świadczenia realizowane przez KRUS ogółem,2116.7,małopolskie,2025,
TABLICA 3 (15). PRZECIĘTNE MIESIĘCZNE ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG WOJEWÓDZTW,Świadczenia realizowane przez KRUS ogółem,2163.8,mazowieckie,2025,
TABLICA 3 (15). PRZECIĘTNE MIESIĘCZNE ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG WOJEWÓDZTW,Świadczenia realizowane przez KRUS ogółem,2212.24,opolskie,2025,
TABLICA 3 (15). PRZECIĘTNE MIESIĘCZNE ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG WOJEWÓDZTW,Świadczenia realizowane przez KRUS ogółem,2150.19,podkarpackie,2025,
TABLICA 3 (15). PRZECIĘTNE MIESIĘCZNE ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG WOJEWÓDZTW,Świadczenia realizowane przez KRUS ogółem,2182.08,podlaskie,2025,
TABLICA 3 (15). PRZECIĘTNE MIESIĘCZNE ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG WOJEWÓDZTW,Świadczenia realizowane przez KRUS ogółem,2215.84,pomorskie,2025,
TABLICA 3 (15). PRZECIĘTNE MIESIĘCZNE ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG WOJEWÓDZTW,Świadczenia realizowane przez KRUS ogółem,2275.19,śląskie,2025,
TABLICA 3 (15). PRZECIĘTNE MIESIĘCZNE ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG WOJEWÓDZTW,Świadczenia realizowane przez KRUS ogółem,2162.15,świętokrzyskie,2025,
TABLICA 3 (15). PRZECIĘTNE MIESIĘCZNE ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG WOJEWÓDZTW,Świadczenia realizowane przez KRUS ogółem,2226.29,warmińsko-mazurskie,2025,
TABLICA 3 (15). PRZECIĘTNE MIESIĘCZNE ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG WOJEWÓDZTW,Świadczenia realizowane przez KRUS ogółem,2132.56,wielkopolskie,2025,
TABLICA 3 (15). PRZECIĘTNE MIESIĘCZNE ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG WOJEWÓDZTW,Świadczenia realizowane przez KRUS ogółem,2253.25,zachodniopomorskie,2025,
TABLICA 3 (15). PRZECIĘTNE MIESIĘCZNE ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG WOJEWÓDZTW,Świadczenia realizowane przez KRUS ogółem,1064.55,MON,2025,
TABLICA 3 (15). PRZECIĘTNE MIESIĘCZNE ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG WOJEWÓDZTW,Świadczenia realizowane przez KRUS ogółem,913.98,MSWiA,2025,
TABLICA 3 (15). PRZECIĘTNE MIESIĘCZNE ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG WOJEWÓDZTW,Świadczenia realizowane przez KRUS ogółem,835.64,MS,2025,
TABLICA 3 (28). WYPADKI PRZY PRACY ROLNICZEJ I CHOROBY ZAWODOWE ROLNIKÓW,2024-Q1,2581,,2024-Q1,Liczba zdarzeń zgłoszonych jako wypadki przy pracy rolniczej WYPADKI PRZY PRACY ROLNICZEJ
TABLICA 3 (28). WYPADKI PRZY PRACY ROLNICZEJ I CHOROBY ZAWODOWE ROLNIKÓW,2024-Q1,2532,,2024-Q1,Liczba zdarzeń uznanych za wypadki przy pracy rolniczej WYPADKI PRZY PRACY ROLNICZEJ
TABLICA 3 (28). WYPADKI PRZY PRACY ROLNICZEJ I CHOROBY ZAWODOWE ROLNIKÓW,2024-Q1,2140,,2024-Q1,Liczba decyzji przyznających świadczenia WYPADKI PRZY PRACY ROLNICZEJ
TABLICA 3 (28). WYPADKI PRZY PRACY ROLNICZEJ I CHOROBY ZAWODOWE ROLNIKÓW,2024-Q1,8,,2024-Q1,w tym śmiertelnych WYPADKI PRZY PRACY ROLNICZEJ
TABLICA 3 (28). WYPADKI PRZY PRACY ROLNICZEJ I CHOROBY ZAWODOWE ROLNIKÓW,2024-Q1,729,,2024-Q1,Liczba decyzji odmawiających świadczenia WYPADKI PRZY PRACY ROLNICZEJ
TABLICA 3 (28). WYPADKI PRZY PRACY ROLNICZEJ I CHOROBY ZAWODOWE ROLNIKÓW,2024-Q1,60,,2024-Q1,Liczba zarejestrowanych wniosków o jednorazowe odszkodowanie zakończonych wydaniem decyzji CHOROBY ZAWODOWE
TABLICA 3 (28). WYPADKI PRZY PRACY ROLNICZEJ I CHOROBY ZAWODOWE ROLNIKÓW,2024-Q1,44,,2024-Q1,Liczba decyzji przyznających świadczenia CHOROBY ZAWODOWE
TABLICA 3 (28). WYPADKI PRZY PRACY ROLNICZEJ I CHOROBY ZAWODOWE ROLNIKÓW,2024-Q1,1,,2024-Q1,w tym śmiertelnych CHOROBY ZAWODOWE
TABLICA 3 (28). WYPADKI PRZY PRACY ROLNICZEJ I CHOROBY ZAWODOWE ROLNIKÓW,2024-Q1,15,,2024-Q1,Liczba decyzji odmawiających świadczenia CHOROBY ZAWODOWE
TABLICA 3 (28). WYPADKI PRZY PRACY ROLNICZEJ I CHOROBY ZAWODOWE ROLNIKÓW,2024-Q4,2243,,2024-Q4,Liczba zdarzeń zgłoszonych jako wypadki przy pracy rolniczej WYPADKI PRZY PRACY ROLNICZEJ
TABLICA 3 (28). WYPADKI PRZY PRACY ROLNICZEJ I CHOROBY ZAWODOWE ROLNIKÓW,2024-Q4,2184,,2024-Q4,Liczba zdarzeń uznanych za wypadki przy pracy rolniczej WYPADKI PRZY PRACY ROLNICZEJ
TABLICA 3 (28). WYPADKI PRZY PRACY ROLNICZEJ I CHOROBY ZAWODOWE ROLNIKÓW,2024-Q4,1775,,2024-Q4,Liczba decyzji przyznających świadczenia WYPADKI PRZY PRACY ROLNICZEJ
TABLICA 3 (28). WYPADKI PRZY PRACY ROLNICZEJ I CHOROBY ZAWODOWE ROLNIKÓW,2024-Q4,12,,2024-Q4,w tym śmiertelnych WYPADKI PRZY PRACY ROLNICZEJ
TABLICA 3 (28). WYPADKI PRZY PRACY ROLNICZEJ I CHOROBY ZAWODOWE ROLNIKÓW,2024-Q4,600,,2024-Q4,Liczba decyzji odmawiających świadczenia WYPADKI PRZY PRACY ROLNICZEJ
TABLICA 3 (28). WYPADKI PRZY PRACY ROLNICZEJ I CHOROBY ZAWODOWE ROLNIKÓW,2024-Q4,68,,2024-Q4,Liczba zarejestrowanych wniosków o jednorazowe odszkodowanie zakończonych wydaniem decyzji CHOROBY ZAWODOWE
TABLICA 3 (28). WYPADKI PRZY PRACY ROLNICZEJ I CHOROBY ZAWODOWE ROLNIKÓW,2024-Q4,55,,2024-Q4,Liczba decyzji przyznających świadczenia CHOROBY ZAWODOWE
TABLICA 3 (28). WYPADKI PRZY PRACY ROLNICZEJ I CHOROBY ZAWODOWE ROLNIKÓW,2024-Q4,-,,2024-Q4,w tym śmiertelnych CHOROBY ZAWODOWE
TABLICA 3 (28). WYPADKI PRZY PRACY ROLNICZEJ I CHOROBY ZAWODOWE ROLNIKÓW,2024-Q4,12,,2024-Q4,Liczba decyzji odmawiających świadczenia CHOROBY ZAWODOWE
TABLICA 3 (28). WYPADKI PRZY PRACY ROLNICZEJ I CHOROBY ZAWODOWE ROLNIKÓW,2025-Q1,2342,,2025-Q1,Liczba zdarzeń zgłoszonych jako wypadki przy pracy rolniczej WYPADKI PRZY PRACY ROLNICZEJ
TABLICA 3 (28). WYPADKI PRZY PRACY ROLNICZEJ I CHOROBY ZAWODOWE ROLNIKÓW,2025-Q1,2269,,2025-Q1,Liczba zdarzeń uznanych za wypadki przy pracy rolniczej WYPADKI PRZY PRACY ROLNICZEJ
TABLICA 3 (28). WYPADKI PRZY PRACY ROLNICZEJ I CHOROBY ZAWODOWE ROLNIKÓW,2025-Q1,1963,,2025-Q1,Liczba decyzji przyznających świadczenia WYPADKI PRZY PRACY ROLNICZEJ
TABLICA 3 (28). WYPADKI PRZY PRACY ROLNICZEJ I CHOROBY ZAWODOWE ROLNIKÓW,2025-Q1,16,,2025-Q1,w tym śmiertelnych WYPADKI PRZY PRACY ROLNICZEJ
TABLICA 3 (28). WYPADKI PRZY PRACY ROLNICZEJ I CHOROBY ZAWODOWE ROLNIKÓW,2025-Q1,624,,2025-Q1,Liczba decyzji odmawiających świadczenia WYPADKI PRZY PRACY ROLNICZEJ
TABLICA 3 (28). WYPADKI PRZY PRACY ROLNICZEJ I CHOROBY ZAWODOWE ROLNIKÓW,2025-Q1,65,,2025-Q1,Liczba zarejestrowanych wniosków o jednorazowe odszkodowanie zakończonych wydaniem decyzji CHOROBY ZAWODOWE
TABLICA 3 (28). WYPADKI PRZY PRACY ROLNICZEJ I CHOROBY ZAWODOWE ROLNIKÓW,2025-Q1,51,,2025-Q1,Liczba decyzji przyznających świadczenia CHOROBY ZAWODOWE
TABLICA 3 (28). WYPADKI PRZY PRACY ROLNICZEJ I CHOROBY ZAWODOWE ROLNIKÓW,2025-Q1,-,,2025-Q1,w tym śmiertelnych CHOROBY ZAWODOWE
TABLICA 3 (28). WYPADKI PRZY PRACY ROLNICZEJ I CHOROBY ZAWODOWE ROLNIKÓW,2025-Q1,15,,2025-Q1,Liczba decyzji odmawiających świadczenia CHOROBY ZAWODOWE
TABLICA 3 (32). LICZBA UBEZPIECZONYCH I PŁATNIKÓW SKŁADEK,2024-Q1,791698,,2024-Q1,OGÓŁEM LICZBA PŁATNIKÓW
TABLICA 3 (32). LICZBA UBEZPIECZONYCH I PŁATNIKÓW SKŁADEK,2024-Q1,782130,,2024-Q1,Fundusz Składkowy LICZBA PŁATNIKÓW
TABLICA 3 (32). LICZBA UBEZPIECZONYCH I PŁATNIKÓW SKŁADEK,2024-Q1,785851,,2024-Q1,Fundusz Emerytalno-Rentowy LICZBA PŁATNIKÓW
TABLICA 3 (32). LICZBA UBEZPIECZONYCH I PŁATNIKÓW SKŁADEK,2024-Q1,1032472,,2024-Q1,OGÓŁEM LICZBA UBEZPIECZONYCH
TABLICA 3 (32). LICZBA UBEZPIECZONYCH I PŁATNIKÓW SKŁADEK,2024-Q1,1015739,,2024-Q1,Fundusz Składkowy LICZBA UBEZPIECZONYCH
TABLICA 3 (32). LICZBA UBEZPIECZONYCH I PŁATNIKÓW SKŁADEK,2024-Q1,1019482,,2024-Q1,Fundusz Emerytalno-Rentowy LICZBA UBEZPIECZONYCH
TABLICA 3 (32). LICZBA UBEZPIECZONYCH I PŁATNIKÓW SKŁADEK,2024-Q4,765829,,2024-Q4,OGÓŁEM LICZBA PŁATNIKÓW
TABLICA 3 (32). LICZBA UBEZPIECZONYCH I PŁATNIKÓW SKŁADEK,2024-Q4,755960,,2024-Q4,Fundusz Składkowy LICZBA PŁATNIKÓW
TABLICA 3 (32). LICZBA UBEZPIECZONYCH I PŁATNIKÓW SKŁADEK,2024-Q4,760052,,2024-Q4,Fundusz Emerytalno-Rentowy LICZBA PŁATNIKÓW
TABLICA 3 (32). LICZBA UBEZPIECZONYCH I PŁATNIKÓW SKŁADEK,2024-Q4,994420,,2024-Q4,OGÓŁEM LICZBA UBEZPIECZONYCH
TABLICA 3 (32). LICZBA UBEZPIECZONYCH I PŁATNIKÓW SKŁADEK,2024-Q4,978971,,2024-Q4,Fundusz Składkowy LICZBA UBEZPIECZONYCH
TABLICA 3 (32). LICZBA UBEZPIECZONYCH I PŁATNIKÓW SKŁADEK,2024-Q4,983876,,2024-Q4,Fundusz Emerytalno-Rentowy LICZBA UBEZPIECZONYCH
TABLICA 3 (32). LICZBA UBEZPIECZONYCH I PŁATNIKÓW SKŁADEK,2025-Q1,760260,,2025-Q1,OGÓŁEM LICZBA PŁATNIKÓW
TABLICA 3 (32). LICZBA UBEZPIECZONYCH I PŁATNIKÓW SKŁADEK,2025-Q1,750249,,2025-Q1,Fundusz Składkowy LICZBA PŁATNIKÓW
TABLICA 3 (32). LICZBA UBEZPIECZONYCH I PŁATNIKÓW SKŁADEK,2025-Q1,754462,,2025-Q1,Fundusz Emerytalno-Rentowy LICZBA PŁATNIKÓW
TABLICA 3 (32). LICZBA UBEZPIECZONYCH I PŁATNIKÓW SKŁADEK,2025-Q1,985815,,2025-Q1,OGÓŁEM LICZBA UBEZPIECZONYCH
TABLICA 3 (32). LICZBA UBEZPIECZONYCH I PŁATNIKÓW SKŁADEK,2025-Q1,970729,,2025-Q1,Fundusz Składkowy LICZBA UBEZPIECZONYCH
TABLICA 3 (32). LICZBA UBEZPIECZONYCH I PŁATNIKÓW SKŁADEK,2025-Q1,972537,,2025-Q1,Fundusz Emerytalno-Rentowy LICZBA UBEZPIECZONYCH
TABLICA 3. WNIOSKI I DECYZJE W SPRAWACH O PRZYZNANIE RODZICIELSKICH ŚWIADCZEŃ UZUPEŁNIJĄCYCH  WEDŁUG WOJEWÓDZTW,liczba wniosków złożonych w okresie sprawozdawczym,93,OGÓŁEM,2025-Q1,
TABLICA 3. WNIOSKI I DECYZJE W SPRAWACH O PRZYZNANIE RODZICIELSKICH ŚWIADCZEŃ UZUPEŁNIJĄCYCH  WEDŁUG WOJEWÓDZTW,liczba wniosków złożonych w okresie sprawozdawczym,6,dolnośląskie,2025-Q1,
TABLICA 3. WNIOSKI I DECYZJE W SPRAWACH O PRZYZNANIE RODZICIELSKICH ŚWIADCZEŃ UZUPEŁNIJĄCYCH  WEDŁUG WOJEWÓDZTW,liczba wniosków złożonych w okresie sprawozdawczym,10,kujawsko-pomorskie,2025-Q1,
TABLICA 3. WNIOSKI I DECYZJE W SPRAWACH O PRZYZNANIE RODZICIELSKICH ŚWIADCZEŃ UZUPEŁNIJĄCYCH  WEDŁUG WOJEWÓDZTW,liczba wniosków złożonych w okresie sprawozdawczym,9,lubelskie,2025-Q1,
TABLICA 3. WNIOSKI I DECYZJE W SPRAWACH O PRZYZNANIE RODZICIELSKICH ŚWIADCZEŃ UZUPEŁNIJĄCYCH  WEDŁUG WOJEWÓDZTW,liczba wniosków złożonych w okresie sprawozdawczym,1,lubuskie,2025-Q1,
TABLICA 3. WNIOSKI I DECYZJE W SPRAWACH O PRZYZNANIE RODZICIELSKICH ŚWIADCZEŃ UZUPEŁNIJĄCYCH  WEDŁUG WOJEWÓDZTW,liczba wniosków złożonych w okresie sprawozdawczym,3,łódzkie,2025-Q1,
TABLICA 3. WNIOSKI I DECYZJE W SPRAWACH O PRZYZNANIE RODZICIELSKICH ŚWIADCZEŃ UZUPEŁNIJĄCYCH  WEDŁUG WOJEWÓDZTW,liczba wniosków złożonych w okresie sprawozdawczym,19,małopolskie,2025-Q1,
TABLICA 3. WNIOSKI I DECYZJE W SPRAWACH O PRZYZNANIE RODZICIELSKICH ŚWIADCZEŃ UZUPEŁNIJĄCYCH  WEDŁUG WOJEWÓDZTW,liczba wniosków złożonych w okresie sprawozdawczym,7,mazowieckie,2025-Q1,
TABLICA 3. WNIOSKI I DECYZJE W SPRAWACH O PRZYZNANIE RODZICIELSKICH ŚWIADCZEŃ UZUPEŁNIJĄCYCH  WEDŁUG WOJEWÓDZTW,liczba wniosków złożonych w okresie sprawozdawczym,-,opolskie,2025-Q1,
TABLICA 3. WNIOSKI I DECYZJE W SPRAWACH O PRZYZNANIE RODZICIELSKICH ŚWIADCZEŃ UZUPEŁNIJĄCYCH  WEDŁUG WOJEWÓDZTW,liczba wniosków złożonych w okresie sprawozdawczym,9,podkarpackie,2025-Q1,
TABLICA 3. WNIOSKI I DECYZJE W SPRAWACH O PRZYZNANIE RODZICIELSKICH ŚWIADCZEŃ UZUPEŁNIJĄCYCH  WEDŁUG WOJEWÓDZTW,liczba wniosków złożonych w okresie sprawozdawczym,9,podlaskie,2025-Q1,
TABLICA 3. WNIOSKI I DECYZJE W SPRAWACH O PRZYZNANIE RODZICIELSKICH ŚWIADCZEŃ UZUPEŁNIJĄCYCH  WEDŁUG WOJEWÓDZTW,liczba wniosków złożonych w okresie sprawozdawczym,2,pomorskie,2025-Q1,
TABLICA 3. WNIOSKI I DECYZJE W SPRAWACH O PRZYZNANIE RODZICIELSKICH ŚWIADCZEŃ UZUPEŁNIJĄCYCH  WEDŁUG WOJEWÓDZTW,liczba wniosków złożonych w okresie sprawozdawczym,1,śląskie,2025-Q1,
TABLICA 3. WNIOSKI I DECYZJE W SPRAWACH O PRZYZNANIE RODZICIELSKICH ŚWIADCZEŃ UZUPEŁNIJĄCYCH  WEDŁUG WOJEWÓDZTW,liczba wniosków złożonych w okresie sprawozdawczym,-,świętokrzyskie,2025-Q1,
TABLICA 3. WNIOSKI I DECYZJE W SPRAWACH O PRZYZNANIE RODZICIELSKICH ŚWIADCZEŃ UZUPEŁNIJĄCYCH  WEDŁUG WOJEWÓDZTW,liczba wniosków złożonych w okresie sprawozdawczym,2,warmińsko-mazurskie,2025-Q1,
TABLICA 3. WNIOSKI I DECYZJE W SPRAWACH O PRZYZNANIE RODZICIELSKICH ŚWIADCZEŃ UZUPEŁNIJĄCYCH  WEDŁUG WOJEWÓDZTW,liczba wniosków złożonych w okresie sprawozdawczym,12,wielkopolskie,2025-Q1,
TABLICA 3. WNIOSKI I DECYZJE W SPRAWACH O PRZYZNANIE RODZICIELSKICH ŚWIADCZEŃ UZUPEŁNIJĄCYCH  WEDŁUG WOJEWÓDZTW,liczba wniosków złożonych w okresie sprawozdawczym,3,zachodniopomorskie,2025-Q1,
TABLICA 3. WNIOSKI I DECYZJE W SPRAWACH O PRZYZNANIE RODZICIELSKICH ŚWIADCZEŃ UZUPEŁNIJĄCYCH  WEDŁUG WOJEWÓDZTW,liczba wniosków załatwionych w okresie sprawozdawczym,90,OGÓŁEM,2025-Q1,
TABLICA 3. WNIOSKI I DECYZJE W SPRAWACH O PRZYZNANIE RODZICIELSKICH ŚWIADCZEŃ UZUPEŁNIJĄCYCH  WEDŁUG WOJEWÓDZTW,liczba wniosków załatwionych w okresie sprawozdawczym,7,dolnośląskie,2025-Q1,
TABLICA 3. WNIOSKI I DECYZJE W SPRAWACH O PRZYZNANIE RODZICIELSKICH ŚWIADCZEŃ UZUPEŁNIJĄCYCH  WEDŁUG WOJEWÓDZTW,liczba wniosków załatwionych w okresie sprawozdawczym,7,kujawsko-pomorskie,2025-Q1,
TABLICA 3. WNIOSKI I DECYZJE W SPRAWACH O PRZYZNANIE RODZICIELSKICH ŚWIADCZEŃ UZUPEŁNIJĄCYCH  WEDŁUG WOJEWÓDZTW,liczba wniosków załatwionych w okresie sprawozdawczym,8,lubelskie,2025-Q1,
TABLICA 3. WNIOSKI I DECYZJE W SPRAWACH O PRZYZNANIE RODZICIELSKICH ŚWIADCZEŃ UZUPEŁNIJĄCYCH  WEDŁUG WOJEWÓDZTW,liczba wniosków załatwionych w okresie sprawozdawczym,1,lubuskie,2025-Q1,
TABLICA 3. WNIOSKI I DECYZJE W SPRAWACH O PRZYZNANIE RODZICIELSKICH ŚWIADCZEŃ UZUPEŁNIJĄCYCH  WEDŁUG WOJEWÓDZTW,liczba wniosków załatwionych w okresie sprawozdawczym,4,łódzkie,2025-Q1,
TABLICA 3. WNIOSKI I DECYZJE W SPRAWACH O PRZYZNANIE RODZICIELSKICH ŚWIADCZEŃ UZUPEŁNIJĄCYCH  WEDŁUG WOJEWÓDZTW,liczba wniosków załatwionych w okresie sprawozdawczym,18,małopolskie,2025-Q1,
TABLICA 3. WNIOSKI I DECYZJE W SPRAWACH O PRZYZNANIE RODZICIELSKICH ŚWIADCZEŃ UZUPEŁNIJĄCYCH  WEDŁUG WOJEWÓDZTW,liczba wniosków załatwionych w okresie sprawozdawczym,7,mazowieckie,2025-Q1,
TABLICA 3. WNIOSKI I DECYZJE W SPRAWACH O PRZYZNANIE RODZICIELSKICH ŚWIADCZEŃ UZUPEŁNIJĄCYCH  WEDŁUG WOJEWÓDZTW,liczba wniosków załatwionych w okresie sprawozdawczym,1,opolskie,2025-Q1,
TABLICA 3. WNIOSKI I DECYZJE W SPRAWACH O PRZYZNANIE RODZICIELSKICH ŚWIADCZEŃ UZUPEŁNIJĄCYCH  WEDŁUG WOJEWÓDZTW,liczba wniosków załatwionych w okresie sprawozdawczym,9,podkarpackie,2025-Q1,
TABLICA 3. WNIOSKI I DECYZJE W SPRAWACH O PRZYZNANIE RODZICIELSKICH ŚWIADCZEŃ UZUPEŁNIJĄCYCH  WEDŁUG WOJEWÓDZTW,liczba wniosków załatwionych w okresie sprawozdawczym,9,podlaskie,2025-Q1,
TABLICA 3. WNIOSKI I DECYZJE W SPRAWACH O PRZYZNANIE RODZICIELSKICH ŚWIADCZEŃ UZUPEŁNIJĄCYCH  WEDŁUG WOJEWÓDZTW,liczba wniosków załatwionych w okresie sprawozdawczym,3,pomorskie,2025-Q1,
TABLICA 3. WNIOSKI I DECYZJE W SPRAWACH O PRZYZNANIE RODZICIELSKICH ŚWIADCZEŃ UZUPEŁNIJĄCYCH  WEDŁUG WOJEWÓDZTW,liczba wniosków załatwionych w okresie sprawozdawczym,-,śląskie,2025-Q1,
TABLICA 3. WNIOSKI I DECYZJE W SPRAWACH O PRZYZNANIE RODZICIELSKICH ŚWIADCZEŃ UZUPEŁNIJĄCYCH  WEDŁUG WOJEWÓDZTW,liczba wniosków załatwionych w okresie sprawozdawczym,-,świętokrzyskie,2025-Q1,
TABLICA 3. WNIOSKI I DECYZJE W SPRAWACH O PRZYZNANIE RODZICIELSKICH ŚWIADCZEŃ UZUPEŁNIJĄCYCH  WEDŁUG WOJEWÓDZTW,liczba wniosków załatwionych w okresie sprawozdawczym,2,warmińsko-mazurskie,2025-Q1,
TABLICA 3. WNIOSKI I DECYZJE W SPRAWACH O PRZYZNANIE RODZICIELSKICH ŚWIADCZEŃ UZUPEŁNIJĄCYCH  WEDŁUG WOJEWÓDZTW,liczba wniosków załatwionych w okresie sprawozdawczym,11,wielkopolskie,2025-Q1,
TABLICA 3. WNIOSKI I DECYZJE W SPRAWACH O PRZYZNANIE RODZICIELSKICH ŚWIADCZEŃ UZUPEŁNIJĄCYCH  WEDŁUG WOJEWÓDZTW,liczba wniosków załatwionych w okresie sprawozdawczym,3,zachodniopomorskie,2025-Q1,
